"Mot_Expression","Definition_EN"
"Abrupt","Sudden and unexpected without warning."
"Accomplish","To successfully achieve a goal or task."
"Accurate","Free from errors; exactly correct."
"Adamant","Refusing to change one's opinion firmly."
"Adequate","Satisfactory or acceptable for a purpose."
"Affluent","Having a great deal of money; wealthy."
"Agile","Able to move quickly and easily."
"Altruistic","Showing unselfish concern for others' well-being."
"Ambiguous","Open to more than one interpretation."
"Amicable","Having a friendly and pleasant manner."
"Ample","More than enough; plentiful."
"Articulate","Able to speak fluently and coherently."
"Astute","Having clever insight and good judgment."
"Audacious","Showing a willingness to take bold risks."
"Auspicious","Giving promise of success; favorable."
"Authentic","Genuine; not a copy or fake."
"Avid","Having an eager desire for something."
"Awkward","Causing difficulty; hard to do or deal with."
"Benevolent","Well meaning and kindly toward others."
"Bias","Prejudice in favor of or against something."
"Blatant","Done openly and without shame."
"Blunt","Uncompromisingly forthright in speech."
"Brevity","Concise and exact use of words."
"Candid","Truthful and straightforward in speech."
"Capricious","Given to sudden and unaccountable changes."
"Charisma","Compelling attractiveness that inspires devotion."
"Circumspect","Careful to consider all circumstances."
"Coerce","Persuade an unwilling person by force."
"Coherent","Logical and consistent in its parts."
"Compassionate","Feeling or showing sympathy for others."
"Compelling","Evoking interest or admiration in a powerful way."
"Complacent","Showing uncritical satisfaction with oneself."
"Comprehensive","Including all relevant details; thorough."
"Concise","Giving a lot of information clearly and briefly."
"Condescending","Showing a patronizing superiority to others."
"Convoluted","Extremely complex and difficult to follow."
"Credible","Able to be believed; convincing."
"Crucial","Decisive or critical in importance."
"Cryptic","Having a hidden or mysterious meaning."
"Cynical","Believing that people are only self-interested."
"Debacle","A sudden disastrous collapse or failure."
"Deliberate","Done consciously and intentionally."
"Diligent","Having or showing careful and persistent effort."
"Discrepancy","A lack of consistency between facts or claims."
"Dubious","Hesitating or doubting something."
"Dynamic","Characterized by constant change or progress."
"Eccentric","Unconventional and slightly strange in behavior."
"Eloquent","Fluent or persuasive in speaking or writing."
"Empathy","The ability to understand another's feelings."
"Endorse","Declare one's public approval or support of."
"Enigmatic","Difficult to interpret or understand."
"Escalate","Increase rapidly in extent or intensity."
"Ethical","Relating to moral principles of right and wrong."
"Euphemism","A mild word used to replace an offensive one."
"Exacerbate","Make a problem or situation worse."
"Exemplary","Serving as a desirable model; outstanding."
"Exhaustive","Covering all aspects thoroughly; comprehensive."
"Facade","An outward appearance that hides the true nature."
"Fallacy","A mistaken belief based on unsound reasoning."
"Fluctuate","Rise and fall irregularly in number or amount."
"Formidable","Inspiring fear or respect through size or power."
"Frugal","Sparing or economical with money or food."
"Futile","Incapable of producing any useful result."
"Genuine","Truly what something is said to be; authentic."
"Gregarious","Fond of company; sociable."
"Haphazard","Lacking any particular order or plan."
"Holistic","Characterized by treating the whole person."
"Humble","Having or showing a modest opinion of oneself."
"Hypothetical","Supposed as an example for discussion."
"Impartial","Treating all rivals equally; fair."
"Impeccable","In accordance with the highest standards."
"Implicit","Suggested but not directly expressed."
"Impulsive","Acting suddenly without careful consideration."
"Inadvertent","Not resulting from deliberate planning."
"Incessant","Continuing without pause or interruption."
"Inclusive","Not excluding any section of society."
"Indispensable","Absolutely necessary; essential."
"Inevitable","Certain to happen; unavoidable."
"Innovative","Featuring new methods; original and creative."
"Insightful","Having a deep understanding of a person or thing."
"Integrity","The quality of being honest and having principles."
"Intricate","Very complicated or detailed."
"Intuitive","Using or based on what one feels to be true."
"Irrelevant","Not connected with the matter at hand."
"Judicious","Having experience and good judgment."
"Keen","Having an eager interest; sharp or intense."
"Lenient","More merciful than expected; not strict."
"Lucid","Expressed clearly; easy to understand."
"Magnitude","The great size or extent of something."
"Meticulous","Showing great attention to detail; thorough."
"Mitigate","Make less severe, serious, or painful."
"Mundane","Lacking interest or excitement; ordinary."
"Negligent","Failing to take proper care of something."
"Neutral","Not supporting or helping either side."
"Nuance","A subtle difference in meaning or expression."
"Objective","Not influenced by personal feelings or opinions."
"Obsolete","No longer produced or used; out of date."
"Ominous","Giving the impression that something bad will happen."
"Optimistic","Hopeful and confident about the future."
"Paradox","A statement that contradicts itself but may be true."
"Pragmatic","Dealing with things sensibly and practically."
"Profound","Very great or intense; having deep insight."
"Prolific","Producing many works or results."
"Prudent","Acting with care and thought for the future."
"Redundant","No longer needed or useful; superfluous."
"Resilient","Able to recover quickly from difficulties."
"Rhetoric","Persuasive speaking or writing."
"Rigorous","Extremely thorough and careful."
"Sarcastic","Using irony to mock or convey contempt."
"Scrutinize","Examine or inspect closely and thoroughly."
"Sporadic","Occurring at irregular intervals; occasional."
"Subtle","Delicate or precise in a way hard to analyze."
"Superfluous","Unnecessary; more than what is needed."
"Tactful","Having sensitivity in dealing with others."
"Tenacious","Tending to keep a firm hold; determined."
"Transparent","Easy to perceive or detect; clear."
"Trivial","Of little value or importance."
"Undermine","Lessen the effectiveness of someone or something."
"Unprecedented","Never done or known before."
"Vague","Of uncertain, indefinite, or unclear character."
"Versatile","Able to adapt to many different functions."
"Vigilant","Keeping careful watch for possible danger."
"Volatile","Liable to change rapidly and unpredictably."
"Vulnerable","Susceptible to physical or emotional attack."
"Wary","Feeling cautious about possible dangers."
"Break a leg","An expression meaning good luck to someone."
"Bite the bullet","Endure a painful situation with courage."
"Hit the sack","To go to bed and sleep."
"Spill the beans","Reveal secret information accidentally."
"Beat around the bush","Avoid talking about the main point."
"Under the weather","Feeling slightly ill or unwell today."
"Bite off more than you can chew","Take on more than you can handle."
"Cost an arm and a leg","Be extremely expensive to buy."
"Hit the nail on the head","Describe exactly what is causing a situation."
"Let the cat out of the bag","Accidentally reveal a secret."
"Once in a blue moon","Something that happens very rarely."
"Pull someone's leg","Joke with or tease someone playfully."
"Sit on the fence","Avoid committing to either side of issue."
"The ball is in your court","It is up to you to make the next move."
"Burning the midnight oil","Working or studying late into the night."
"A blessing in disguise","Something good that seemed bad at first."
"Add fuel to the fire","Make a bad situation even worse."
"All in the same boat","In the same difficult situation as others."
"An arm and a leg","A very large amount of money."
"At the drop of a hat","Without any hesitation; immediately."
"Back to the drawing board","Start something over after a failure."
"Ball is in your court","Decision is now up to you to make."
"Barking up the wrong tree","Looking in the wrong place for something."
"Bite the dust","To fail completely or be defeated."
"Blow off steam","Release stress or anger through activity."
"Burn bridges","Do something that ruins a relationship."
"By the skin of your teeth","Just barely escape or achieve something."
"Catch someone red-handed","Discover someone in the act of wrongdoing."
"Chasing rainbows","Attempting to achieve something impossible."
"Come rain or shine","Whatever happens; regardless of circumstances."
"Cut corners","Do something the easiest or cheapest way."
"Down to earth","Realistic and practical in attitude."
"Draw the line","Set a limit on what one will accept."
"Drop the ball","Make a mistake or fail to do something."
"Every cloud has a silver lining","Every negative situation has a positive side."
"Face the music","Accept consequences of one's actions."
"Get out of hand","Become too difficult to control."
"Give the benefit of the doubt","Trust someone despite uncertainty."
"Go back to the drawing board","Start a plan again from the beginning."
"Go the extra mile","Make more effort than is required."
"Have a lot on your plate","Have many responsibilities to deal with."
"Hit the ground running","Start something quickly and energetically."
"In hot water","In a difficult or troubling situation."
"Jump to conclusions","Make quick decisions without enough information."
"Keep your chin up","Stay cheerful despite difficulties."
"Kick the bucket","Die (informal, slightly humorous expression)."
"Leave no stone unturned","Try every possible option to find something."
"Look before you leap","Think carefully before taking any action."
"Make ends meet","Earn just enough to pay for necessities."
"Miss the boat","Be too late to take advantage of an opportunity."
"Not my cup of tea","Something not to one's personal taste."
"On thin ice","In a risky or precarious situation currently."
"Out of the blue","Happening suddenly and unexpectedly."
"Piece of cake","Something very easy to do or achieve."
"Put your foot in your mouth","Say something embarrassing or inappropriate."
"Read between the lines","Understand what is implied but not stated."
"Ring a bell","Sound familiar or remind you of something."
"Rise to the occasion","Handle a difficult situation successfully."
"Run out of steam","Lose energy or enthusiasm for something."
"See eye to eye","Agree completely with another person."
"Shoot yourself in the foot","Act against your own interests by mistake."
"Sit on the fence","Avoid giving a definite opinion either way."
"Stab someone in the back","Betray someone who trusted you."
"Take it with a grain of salt","View something with skepticism or doubt."
"The last straw","The final problem that causes a reaction."
"Think outside the box","Think creatively beyond normal boundaries."
"Throw in the towel","Give up or admit defeat on something."
"Time flies","Time passes much more quickly than expected."
"Under the weather","Feeling ill or not quite yourself today."
"Up in the air","Uncertain or not yet decided yet."
"Walk on eggshells","Be very careful not to upset someone."
"Wrap your head around","Understand something complex or difficult."
"You can't judge a book by its cover","Don't judge based only on appearance."
"Team Synergy","Collaboration producing results beyond individual efforts."
"Stakeholder Buy-in","Commitment from key interested parties."
"Action Item","Specific task assigned with deadline."
"Follow-up","Review progress on previous commitments."
"Next Steps","Immediate actions following meeting."
"Parking Lot","Off-topic items for later discussion."
"Low-hanging Fruit","Easiest quickest wins available."
"Quick Win","Immediate success building momentum."
"Deep Dive","Thorough detailed investigation."
"High-level Overview","Summary without technical details."
"Bandwidth","Available capacity for additional work."
"Touch Base","Brief informal status check."
"Circle Back","Return to topic later."
"Move the Needle","Produce meaningful measurable impact."
"Boil the Ocean","Impossible overly broad scope."
"Drink the Kool-Aid","Blind acceptance without questioning."
"Herding Cats","Managing uncoordinated independent people."
"Elevator Pitch","30-second compelling summary."
"Back to Basics","Return fundamental principles."
"Think Outside the Box","Creative non-traditional approach."
"Bang for the Buck","Maximum value minimum investment."
"Keep Me in the Loop","Maintain communication updates."
"Ping Me","Send quick message or notification."
"Take Offline","Handle separately from group discussion."
"Run It Up the Flagpole","Test idea get reactions."
"Paradigm Shift","Fundamental change underlying assumptions."
"Game Changer","Transformative significant impact."
"Best Practice","Industry standard proven method."
"Lessons Learned","Knowledge gained from experience."
"Continuous Improvement","Ongoing incremental enhancements."
"Stretch Goal","Ambitious target beyond baseline."
"SMART Goal","Specific Measurable Achievable Relevant Time-bound."
"Bellwether","Leading indicator future trends."
"Canary in Coal Mine","Early warning sign problems."
"Tip of the Iceberg","Small visible part larger issue."
"Perfect Storm","Multiple factors creating crisis."
"Rise to the Occasion","Perform exceptionally pressure."
"Bear with Me","Request patience during explanation."
"Get the Ball Rolling","Initiate start momentum."
"Hit the Ground Running","Start immediately full speed."
"Rein in","Control limit excessive behavior."
"Get Up to Speed","Become current informed."
"Play Hardball","Aggressive uncompromising approach."
"Pull Out All the Stops","Maximum complete effort."
"Put All Eggs in One Basket","Risk concentration single option."
"Burn Bridges","Irreversible break relationships."
"Cross That Bridge When Come To It","Handle future problems later."
"Barking Up Wrong Tree","Pursuing wrong incorrect approach."
"Beat Dead Horse","Discuss settled pointless issue."
"Between Rock Hard Place","Difficult choice bad options."
"Bite More Chew","Overcommit beyond capacity."
"Blood Sweat Tears","Maximum exhaustive effort."
"Burning Question","Critical urgent issue."
"Call Shots","Make final decisions."
"Cash Cow","Reliable steady revenue source."
"Change Tides","Alter situation direction."
"Chase Tail","Waste time unproductive activity."
"Climb Corporate Ladder","Advance career hierarchy."
"Close Ranks","Unite against external threat."
"Come Hell High Water","No matter difficulties."
"Cut Corners","Reduce quality save effort."
"Cut Losses","Abandon failing investment."
"Cut Mustard","Meet minimum requirements."
"Dark Horse","Unexpected successful competitor."
"Devil Details","Critical important small things."
"Different Animal","More complex challenging."
"Dog Eat Dog","Highly competitive ruthless."
"Don't Count Chickens","Avoid premature celebration."
"Down the Wire","Decided final moments."
"Draw Line Sand","Set firm boundary."
"Drink from Fire Hose","Overwhelming information volume."
"Drop Ball","Fail complete responsibility."
"Eat Cake","Enjoy luxury crisis."
"Elephant Room","Obvious ignored problem."
"Everything but Kitchen Sink","Almost everything possible."
"Fall Between Cracks","Overlooked neglected."
"Few Bad Apples","Most good few problematic."
"Fight Good Fight","Persistent moral effort."
"Find Footing","Establish stability confidence."
"Flash in Pan","Brief short-lived success."
"Flesh Blood","Real human genuine."
"Fog War","Confusion uncertainty conflict."
"Follow Money","Track financial motivations."
"For What It's Worth","Opinion offered cautiously."
"From Rags Riches","Extreme upward mobility."
"Get Cold Feet","Lose courage last minute."
"Get Foot Door","Secure initial access."
"Get Head Above Water","Escape overwhelming pressure."
"Get Wind Something","Learn rumor information."
"Gild Lily","Unnecessary excessive decoration."
"Go Extra Mile","Exceed minimum requirements."
"Go Great Lengths","Extreme measures achieve goal."
"Go Out Limb","Risky unsupported position."
"Good Bad Ugly","Complete range outcomes."
"Good Fence Good Neighbors","Boundaries maintain harmony."
"Good Things Come Small Packages","Value not size dependent."
"Good Time Had All","Everyone enjoyed thoroughly."
"Grab Bull Horns","Confront problem directly."
"Grasp Nettle","Tackle unpleasant task."
"Grass Greener Other Side","Others situation better."
"Greek You","Incomprehensible confusing."
"Great Minds Think Alike","Shared intelligent thinking."
"Green Eyed Monster","Jealousy envy."
"Grey Area","Unclear ambiguous situation."
"Hail Mary Pass","Desperate last-chance effort."
"Hand Mouth","Barely sufficient resources."
"Hang Hat","Establish belong somewhere."
"Haste Makes Waste","Rushing creates problems."
"Have Cake Eat Too","Impossible contradictory desires."
"Head Count","Number employees personnel."
"Head Honcho","Person authority charge."
"Heap Praise","Excessive strong compliments."
"Heart Sleeve","Open honest emotions."
"Hell Wheels","Fast furious pace."
"Hidden Agenda","Secret true intentions."
"Hit Ground Running","Start immediately effectively."
"Hit Nail Head","Exactly correct precise."
"Hold Horses","Wait be patient."
"Hole Picture","Missing key information."
"Honest Days Work","Full productive effort."
"Horse Different Color","Separate unrelated issue."
"Hours Daze","Overworked exhausted state."
"House Cards","Fragile unstable structure."
"Iceberg Tip","Small visible part larger."
"If Something Can Go Wrong Will","Murphy's Law."
"Icing Cake","Nice additional bonus."
"In Boat Together","Shared fate mutual interest."
"In Loop","Informed included updates."
"In Same Boat","Shared difficult situation."
"In Stone","Final unchangeable decision."
"Into Thin Air","Disappear completely."
"It's Rocket Science","Very difficult complex."
"Jack All Trades","Versatile multiple skills."
"Juggle Priorities","Manage competing demands."
"Jump Gun","Start too early prematurely."
"Jump Ship","Abandon leave suddenly."
"Jump Through Hoops","Excessive complicated process."
"Keep Eye Ball","Close careful monitoring."
"Keep Feet Ground","Stay realistic practical."
"Keep Finger Pulse","Stay current trends."
"Keep Head Above Water","Survive barely manage."
"Keep Nose Clean","Avoid trouble behave."
"Keep Powder Dry","Stay prepared ready."
