"Mot_Expression","Definition_ES"
"Abarcar","Incluir o comprender varias cosas a la vez."
"Abierto","Que no está cerrado ni oculto."
"Abrupto","Algo repentino e inesperado que sorprende."
"Acaudalado","Que posee mucho dinero y riqueza."
"Acérrimo","Muy firme e inflexible en sus opiniones."
"Acogedor","Que da sensación de calor y comodidad."
"Acontecer","Suceder o pasar algo en un momento."
"Acreditar","Probar la verdad o calidad de algo."
"Acucioso","Que actúa con mucha diligencia y cuidado."
"Adagio","Refrán o proverbio de sabiduría popular."
"Adular","Elogiar exageradamente con fines interesados."
"Afable","Amable y cortés en el trato cotidiano."
"Afán","Deseo intenso por lograr algo importante."
"Aferrar","Asirse con fuerza a algo o a alguien."
"Afligir","Causar tristeza o sufrimiento profundo."
"Agasajar","Tratar con mucha amabilidad y cortesía."
"Ágil","Que se mueve con rapidez y facilidad."
"Agobiar","Causar gran preocupación o peso excesivo."
"Agotar","Consumir completamente los recursos disponibles."
"Agudeza","Perspicacia intelectual o fineza de sentidos."
"Ahínco","Gran esfuerzo y empeño en una tarea."
"Ahorrar","Guardar dinero para usarlo en el futuro."
"Airoso","Que sale bien de una situación difícil."
"Aislado","Separado o apartado del resto del entorno."
"Ajetreo","Actividad intensa con mucho movimiento."
"Alevoso","Que actúa con traición y premeditación."
"Alborotar","Causar desorden o ruido de forma excesiva."
"Alegar","Exponer razones en defensa de algo."
"Alentador","Que da fuerza y esperanza para continuar."
"Altanero","Que actúa con orgullo y arrogancia."
"Altruismo","Preocupación desinteresada por el bienestar ajeno."
"Ambiguo","Que puede interpretarse de varias maneras."
"Ameno","Agradable e interesante para quienes escuchan."
"Amplio","Que tiene gran extensión o capacidad."
"Análisis","Examen detallado de algo para entenderlo."
"Anhelar","Desear con mucha intensidad algo."
"Animoso","Con energía y disposición para actuar."
"Apacentar","Guiar o alimentar con cuidado y paciencia."
"Apacible","Tranquilo y sin agitación ni perturbación."
"Aplomo","Serenidad y seguridad en el comportamiento."
"Apremiar","Exigir con urgencia que algo se haga."
"Armonioso","Que tiene equilibrio y concordancia entre partes."
"Arrebato","Impulso súbito e incontrolable de emoción."
"Arrogante","Que se cree superior a los demás."
"Articulado","Que se expresa con claridad y precisión."
"Aseverar","Afirmar con certeza y convicción algo."
"Asiduo","Que frecuenta o practica algo con regularidad."
"Astuto","Hábil para lograr sus objetivos con ingenio."
"Atrevido","Que se atreve a hacer cosas arriesgadas."
"Austero","Que vive con sobriedad y sin lujos excesivos."
"Avezado","Que tiene mucha experiencia en algo."
"Azorarse","Turbarse o asustarse ante algo inesperado."
"Bachillerato","Nivel de estudios secundarios previo a la universidad."
"Benévolo","Que tiene buena voluntad hacia los demás."
"Bienestar","Estado de comodidad, salud y felicidad."
"Bochorno","Vergüenza o calor sofocante que incomoda."
"Bondad","Calidad de ser bueno y generoso."
"Brío","Energía y entusiasmo para realizar algo."
"Cabal","Que es completo, exacto y honesto."
"Capcioso","Que tiende a engañar con argumentos sutiles."
"Cauteloso","Que actúa con precaución y prudencia."
"Ceder","Dar algo propio a otro o ceder posición."
"Certero","Que da en el blanco con precisión."
"Charla","Conversación informal y amena entre personas."
"Circunspecto","Que actúa con mucha prudencia y reserva."
"Clarividencia","Capacidad de percibir cosas ocultas o futuras."
"Cohibir","Impedir o reprimir a alguien su libertad."
"Coloquio","Conversación o debate entre varias personas."
"Compungido","Que siente dolor o arrepentimiento profundo."
"Concienzudo","Que actúa con mucho cuidado y responsabilidad."
"Condescender","Ceder ante alguien por condescendencia."
"Confiar","Tener plena fe en alguien o algo."
"Confundir","Mezclar o desorientar a alguien con ideas."
"Consecuente","Que actúa de acuerdo con sus principios."
"Consuelo","Alivio de la pena o el sufrimiento ajeno."
"Contundente","Que tiene gran fuerza o poder persuasivo."
"Convicción","Creencia firme e inquebrantable en algo."
"Cordura","Sensatez y buen juicio en las decisiones."
"Cuestionar","Poner en duda o interrogar sobre algo."
"Curtido","Que tiene mucha experiencia en la vida."
"Denuedo","Valentía y esfuerzo ante situaciones difíciles."
"Depurado","Refinado y libre de impurezas o defectos."
"Derroche","Gasto excesivo e innecesario de recursos."
"Desafío","Reto o invitación a competir o demostrar algo."
"Descaro","Falta de vergüenza o desvergüenza notable."
"Desdeñoso","Que muestra desprecio o desdén hacia algo."
"Deshonesto","Que actúa sin honradez ni integridad."
"Desprendido","Que da con generosidad sin esperar nada."
"Determinado","Firme y resuelto en sus propósitos."
"Diligente","Que trabaja con cuidado y constancia."
"Discernir","Distinguir o percibir la diferencia entre cosas."
"Discreto","Que habla y actúa con prudencia y reserva."
"Disimular","Ocultar algo intencionalmente a los demás."
"Dócil","Que obedece fácilmente sin resistirse."
"Dominio","Control total sobre algo o alguien."
"Dubitativo","Que duda o vacila antes de decidir."
"Elocuente","Que se expresa con fluidez y persuasión."
"Empecinado","Muy terco e inflexible en sus ideas."
"Emprendedor","Que tiene iniciativa para crear proyectos."
"Encomiable","Digno de elogio y admiración pública."
"Enérgico","Que actúa con mucha fuerza y vigor."
"Entusiasta","Que siente y muestra gran entusiasmo."
"Espontáneo","Que actúa de forma natural y sin preparación."
"Estridente","Que produce un sonido muy agudo y molesto."
"Excelso","De calidad superior y muy distinguida."
"Excéntrico","Que se comporta de forma poco convencional."
"Exhaustivo","Que analiza o trata algo con gran detalle."
"Fecundo","Que produce muchos frutos o resultados."
"Fehaciente","Que demuestra algo con plena certeza."
"Fervoroso","Que siente o expresa gran fervor o pasión."
"Fidelidad","Cualidad de ser leal y fiel siempre."
"Fingir","Hacer creer algo falso a los demás."
"Franqueza","Cualidad de hablar con sinceridad y claridad."
"Frugal","Que vive o come con sencillez y poco."
"Fugaz","Que dura muy poco tiempo o pasa rápido."
"Gallardía","Elegancia y valentía en el comportamiento."
"Generar","Producir o causar algo de forma activa."
"Genuino","Auténtico y verdadero sin falsedad alguna."
"Hábil","Que tiene talento o destreza para algo."
"Halagar","Elogiar o complacer a alguien con palabras."
"Hazaña","Acción heroica o de gran mérito."
"Honradez","Cualidad de actuar con rectitud e integridad."
"Humildad","Virtud de reconocer las propias limitaciones."
"Imparcial","Que juzga sin favoritismos ni preferencias."
"Impávido","Que no se asusta ante el peligro."
"Impulsivo","Que actúa sin pensar en las consecuencias."
"Incansable","Que no se cansa o siempre actúa."
"Incisivo","Que penetra profundamente en un tema."
"Indolente","Que evita el esfuerzo por pereza extrema."
"Infatigable","Que no se cansa aunque trabaje mucho."
"Ingenioso","Que tiene gran habilidad creativa e inventiva."
"Insistente","Que persiste en algo con gran empeño."
"Íntegro","Que tiene total honradez y rectitud moral."
"Intrepidez","Valor y audacia ante los peligros."
"Jovial","Alegre y de buen humor de forma natural."
"Juicioso","Que tiene buen juicio y actúa sensatamente."
"Laborioso","Que trabaja con mucho esfuerzo y dedicación."
"Leal","Fiel a sus compromisos y personas queridas."
"Lucidez","Claridad mental para entender y decidir."
"Magnánimo","Generoso y noble en sus acciones."
"Meticuloso","Que presta mucha atención a los detalles."
"Modesto","Que no presume de sus méritos o logros."
"Mordaz","Que critica de forma aguda y burlona."
"Obstinado","Que se mantiene firme en sus ideas."
"Paciente","Que soporta las dificultades sin quejarse."
"Perseverante","Que continúa a pesar de las dificultades."
"Perspicaz","Que percibe con agudeza lo que otros no ven."
"Pragmático","Que se basa en hechos concretos y prácticos."
"Preciso","Exacto y sin ambigüedades en su expresión."
"Prudente","Que actúa con cuidado y buen juicio."
"Reflexivo","Que piensa profundamente antes de actuar."
"Resoluto","Decidido y firme en sus propósitos."
"Sagaz","Que tiene gran perspicacia y astucia."
"Sereno","Que mantiene la calma en situaciones difíciles."
"Sincero","Que expresa lo que piensa con honestidad."
"Sobrio","Que no es exagerado ni excesivo en nada."
"Tenaz","Que persiste con fuerza en sus objetivos."
"Versátil","Que puede adaptarse a distintas funciones."
"Veraz","Que siempre dice la verdad sin mentiras."
"Vigoroso","Que tiene mucha fuerza y energía vital."
"Vivaz","Que está lleno de vida y energía."
"Zalamero","Que halaga con exceso y de forma falsa."
"A cada cerdo le llega su San Martín","Tarde o temprano, todo el mundo recibe lo que merece."
"Camarón que se duerme","se lo lleva la corriente,Hay que estar alerta para no perder oportunidades."
"Dime con quién andas y te diré quién eres","Las personas reflejan la compañía que eligen."
"El que mucho abarca","poco aprieta,Quien asume demasiadas tareas las hace mal."
"No hay mal que por bien no venga","De las situaciones malas pueden salir cosas buenas."
"A buen entendedor pocas palabras bastan","Las personas inteligentes comprenden con poca explicación."
"Más vale tarde que nunca","Es mejor hacer algo tarde que no hacerlo nunca."
"Caras vemos corazones no sabemos","No podemos juzgar a las personas solo por su apariencia."
"Perro que ladra no muerde","Las personas que amenazan mucho raramente actúan."
"No todo lo que brilla es oro","Las apariencias pueden ser engañosas y falsas."
