"Terme","Definition"
"KYC","Vérification stricte de l'identité des clients."
"AML","Ensemble des lois contre le blanchiment d'argent."
"Blanchiment d'argent","Dissimulation de l'origine de fonds illicites."
"Due Diligence","Examen approfondi des risques d'un partenaire."
"PEP","Personne politiquement exposée présentant un risque élevé."
"TRACFIN","Cellule française de renseignement financier nationale."
"GAFI","Organisme international fixant les normes anti-blanchiment."
"Bénéficiaire effectif","Personne physique contrôlant réellement une entité."
"Déclaration de soupçon","Signalement obligatoire d'opération financière suspecte."
"Fraude au président","Usurpation d'identité pour détourner des virements."
"Shadow Banking","Activités de crédit hors du cadre bancaire réglementé."
"Paradis fiscal","Territoire à fiscalité très basse et peu transparente."
"Évasion fiscale","Contournement illégal de l'impôt dû à l'État."
"Fraude fiscale","Dissimulation délibérée de revenus aux autorités fiscales."
"Conformité","Respect rigoureux des règles légales et réglementaires."
"Risque opérationnel","Risque de perte lié aux processus internes défaillants."
"Gel des avoirs","Blocage légal et immédiat des comptes d'un suspect."
"Sanctions financières","Restrictions imposées à des entités ou des pays."
"Financement du terrorisme","Transferts de fonds destinés à financer des attaques."
"Crypto-actif","Actif numérique utilisant la cryptographie pour sécuriser."
"LCB-FT","Lutte contre le blanchiment et le financement du terrorisme."
"CDD","Vigilance standard exercée sur un client à risque modéré."
"EDD","Vigilance renforcée pour les clients à très haut risque."
"KYB","Vérification de l'identité et des activités d'une entreprise."
"UBO","Bénéficiaire ultime détenant plus de 25% d'une entité."
"Monitoring","Surveillance continue et automatisée des transactions suspectes."
"SAR","Rapport signalant une activité financière suspecte aux autorités."
"OFAC","Bureau américain contrôlant les sanctions financières internationales."
"Screening","Filtrage automatique des clients contre des listes noires."
"Risk Scoring","Attribution d'un score de risque à chaque profil client."
"Audit interne","Contrôle indépendant des processus et des risques internes."
"Compliance Officer","Responsable du respect des obligations réglementaires internes."
"Rapport FATF","Évaluation périodique de la conformité anti-blanchiment d'un pays."
"Smurfing","Fractionnement de transactions pour éviter les seuils de détection."
"Placement","Première étape d'introduction des fonds illicites dans le système."
"Empilement","Série de transactions complexes pour brouiller les pistes financières."
"Intégration","Réintroduction des fonds blanchis dans l'économie légale formelle."
"Correspondent Banking","Relations bancaires entre établissements pour effectuer des paiements."
"Hawala","Système informel de transfert de fonds sans mouvement physique."
"Shell Company","Société fictive utilisée pour dissimuler l'origine de fonds."
"Compte Nostro","Compte qu'une banque détient dans une banque étrangère."
"Compte Vostro","Compte détenu par une banque étrangère dans notre établissement."
"Chambre de compensation","Organisme centralisant et compensant les opérations entre banques."
"Blanchiment en trois phases","Placement, empilement et intégration de fonds illicites."
"Délit d'initié","Utilisation d'informations privilégiées pour des transactions boursières."
"Manipulation de marché","Pratiques visant à fausser artificiellement les cours boursiers."
"AMF","Autorité française des marchés financiers et des investissements."
"BNS","Banque nationale suisse supervisant la politique monétaire nationale."
"BCE","Banque centrale européenne gérant la politique monétaire européenne."
"Fintech","Entreprise technologique innovant dans les services financiers numériques."
"Regtech","Technologie facilitant la conformité réglementaire dans les finances."
"eKYC","Processus numérique et automatisé de vérification d'identité client."
"Biométrie","Utilisation des caractéristiques physiques pour vérifier une identité."
"OCR","Reconnaissance optique de caractères pour lire des documents officiels."
"MiCA","Règlement européen encadrant les marchés de crypto-actifs."
"AMLD5","Cinquième directive européenne anti-blanchiment de capitaux en vigueur."
"AMLD6","Sixième directive élargissant les infractions liées au blanchiment."
"DORA","Règlement européen sur la résilience opérationnelle numérique des banques."
"RGPD","Règlement européen protégeant les données personnelles des citoyens."
"NFC","Technologie sans contact utilisée dans les paiements mobiles sécurisés."
"Tokenisation","Remplacement de données sensibles par un identifiant numérique sécurisé."
"DeFi","Finance décentralisée opérant sans intermédiaire bancaire traditionnel."
"Stablecoin","Crypto-monnaie dont la valeur est indexée sur un actif stable."
"CBDC","Monnaie numérique émise directement par une banque centrale officielle."
"NFT","Actif numérique unique certifié par une blockchain inviolable."
"Blockchain","Registre distribué et immuable enregistrant toutes les transactions."
"Smart Contract","Contrat s'exécutant automatiquement selon des conditions préprogrammées."
"Wallet numérique","Portefeuille électronique pour stocker et transférer des crypto-actifs."
"Exchange","Plateforme d'échange de crypto-monnaies entre utilisateurs enregistrés."
"Ransomware","Logiciel malveillant chiffrant des données contre une rançon financière."
"Phishing","Tentative de vol d'informations bancaires via des faux sites."
"Vishing","Fraude téléphonique visant à obtenir des données financières personnelles."
"IBAN","Numéro international identifiant un compte bancaire dans le monde."
"SWIFT","Réseau mondial de messagerie pour les transferts bancaires sécurisés."
"Code BIC","Identifiant unique d'une banque dans les transactions internationales."
"Garantie bancaire","Engagement d'une banque à payer si le client défaille."
"Lettre de crédit","Document bancaire garantissant un paiement international conditionnel."
"Affacturage","Cession de créances commerciales à un organisme financier spécialisé."
"Titrisation","Transformation de créances en titres financiers négociables sur marché."
"Produit dérivé","Instrument financier dont la valeur dépend d'un actif sous-jacent."
"Swap","Contrat d'échange de flux financiers entre deux contreparties."
"Option financière","Droit d'acheter ou vendre un actif à un prix fixé."
"Futures","Contrat à terme standardisé négocié sur un marché organisé."
"Levier financier","Utilisation de l'endettement pour amplifier les rendements d'investissement."
"Fonds propres","Ressources financières appartenant directement aux actionnaires d'une entreprise."
"Ratio de liquidité","Indicateur mesurant la capacité d'une banque à faire face."
"Capital réglementaire","Fonds minimaux exigés des banques par les régulateurs prudentiels."
"Bâle III","Réforme internationale renforçant la solidité des banques mondiales."
"Stress test","Simulation de scénarios adverses pour évaluer la résistance bancaire."
"Rating","Note évaluant la solvabilité financière d'un émetteur de dette."
"Agence de notation","Organisme évaluant la qualité de crédit d'entités financières."
"Default","Incapacité d'un emprunteur à rembourser sa dette à échéance."
"Restructuration de dette","Renégociation des termes d'une dette en difficulté de paiement."
"Faillite","Procédure légale pour une entreprise incapable de rembourser ses dettes."
"Liquidation judiciaire","Vente forcée des actifs d'une entreprise insolvable par justice."
"Redressement judiciaire","Procédure légale pour sauver une entreprise en difficulté temporaire."
"Hedge Fund","Fonds spéculatif utilisant des stratégies d'investissement complexes et risquées."
"Private Equity","Investissement dans des entreprises non cotées en bourse privée."
"Capital-risque","Financement de startups innovantes à fort potentiel de croissance."
"Due Diligence","Examen approfondi des risques d'un partenaire."
"PEP","Personne politiquement exposée présentant un risque élevé."
"TRACFIN","Cellule française de renseignement financier nationale."
"GAFI","Organisme international fixant les normes anti-blanchiment."
"Bénéficiaire effectif","Personne physique contrôlant réellement une entité."
"Déclaration de soupçon","Signalement obligatoire d'opération financière suspecte."
"Fraude au président","Usurpation d'identité pour détourner des virements."
"Shadow Banking","Activités de crédit hors du cadre bancaire réglementé."
"Paradis fiscal","Territoire à fiscalité très basse et peu transparente."
"Évasion fiscale","Contournement illégal de l'impôt dû à l'État."
"Fraude fiscale","Dissimulation délibérée de revenus aux autorités fiscales."
"Allégations","Accusations formelles nécessitant vérification approfondie."
"Anomalie transactionnelle","Déviation inhabituelle des flux financiers normaux."
"Risque de blanchiment","Intégration de fonds illicites dans le système financier."
"KYC","Identification et vérification obligatoire des clients."
"UBO","Propriétaire ultime effectif d'une structure juridique."
"Sanction économique","Mesure restrictive imposée par autorités internationales."
"Conflit d'intérêts","Interférence des intérêts personnels avec devoirs professionnels."
"Provision pour risque","Réserve comptable couvrant pertes potentielles."
"Exposition au risque","Engagement financier face à menaces identifiées."
"Vigilance renforcée","Surveillance accrue des relations à haut risque."
"Signalement suspicious activity","Rapport obligatoire d'activités douteuses."
"Screening","Vérification systématique contre listes de sanctions."
"Flux financiers atypiques","Mouvements d'argent non conformes aux activités déclarées."
"Transparence des bénéficiaires","Divulgation complète des propriétaires réels."
"Évaluation des risques","Analyse méthodique des menaces potentielles."
"Non-conformité","Manquement aux réglementations obligatoires."
"Audit interne","Examen indépendant des processus de contrôle."
"Ratio de liquidité","Capacité à honorer engagements à court terme."
"Endettement excessif","Dettes dépassant capacités de remboursement."
"Fraude interne","Acte malveillant commis par employés ou dirigeants."
"Cyber-risque financier","Menaces numériques affectant les actifs financiers."
"Notation de crédit","Évaluation qualitative de la solvabilité."
"Garantie hypothécaire","Droit de créance sur bien immobilier en défaut."
"Couverture de risque","Stratégie de mitigation des pertes potentielles."
"Volatilité des marchés","Fluctuations imprévues affectant la sécurité financière."
"Concentration de risques","Expositions excessives sur même contrepartie."
"Stress test","Simulation d'événements extrêmes sur résilience."
"Capital de solvabilité","Fonds propres minimaux absorbant les pertes."
"Liquidation judiciaire","Vente forcée des actifs en insolvabilité."
"Recouvrement de créances","Récupération des dettes impayées."
"Moratoire de paiement","Suspension temporaire des remboursements."
"Faillite","Insolvabilité déclarée par décision judiciaire."
"Concordat préventif","Restructuration amiable des dettes en difficulté."
"Sûreté réelle","Garantie attachée à un bien corporel ou incorporel."
"Caution solidaire","Engagement conjoint et indivisible de garants."
"Déchéance du terme","Perte du délai de grâce pour non-paiement."
"Vérification des antécédents","Contrôle du passé judiciaire ou financier."
"Profil de risque","Notation synthétique du niveau de dangerosité."
"Monitoring continu","Surveillance temps réel des transactions."
"Seuil de déclaration","Montant minimal déclenchant rapport obligatoire."
"Opérations en espèces","Transactions en monnaie physique à risque élevé."
"Chaîne de possession","Traçabilité complète de l'origine des fonds."
"Preuve de fonds","Documentation justifiant légitimité des capitaux."
"Structure offshore","Entité domiciliée en juridiction à faible fiscalité."
"Transfert international","Mouvement transfrontalier nécessitant contrôles."
"Financement du terrorisme","Utilisation de fonds pour activités terroristes."
"Corruption","Abus de pouvoir pour avantage personnel indu."
"Marché noir","Circuit illégal de biens et services financiers."
"Dumping social","Concurrence déloyale via coûts salariaux bas."
"Insider trading","Spéculation sur informations privilégiées."
"Manipulation de cours","Altération artificielle des prix boursiers."
"Ponzi scheme","Fraude pyramidale à rendements irréalistes."
"Due diligence renforcée","Audit exhaustif des très hauts risques."
"Politiques de tolérance","Seuils acceptables de pertes ou écarts."
"Indicateurs précoces","Signaux avant-coureurs de risques émergents."
"Cartographie des risques","Représentation visuelle des expositions."
"Scénario de crise","Hypothèse d'événement grave pour planification."
"Résilience opérationnelle","Maintien fonctions critiques en situation de crise."
"Plan de reprise","Stratégie de restauration post-incident."
"Reporting réglementaire","Soumissions périodiques aux superviseurs."
"Conformité normative","Adéquation aux lois et standards applicables."
"Governance corporate","Mécanismes de contrôle et direction d'entreprise."
"Comité d'audit","Supervision des contrôles internes financiers."
"Indépendance des auditeurs","Absence de liens compromettant l'objectivité."
"Rotation des mandats","Changement périodique des commissaires aux comptes."
"Certification des comptes","Attestation régularité et sincérité financière."
"Réserves d'usage","Annotations qualifiant comptes pour incertitudes."
"Refus de certification","Opinion défavorable sur fiabilité des comptes."
"Goodwill","Écart d'acquisition excédant valeur nette comptable."
"Dépréciation d'actifs","Réduction valeur suite à perte de potentiel."
"Impairment test","Évaluation périodique récupérabilité des actifs."
"Off-balance sheet","Engagements non inscrits au bilan principal."
"Dérivés financiers","Contrats dérivés de sous-jacents financiers."
"Hedge fund","Fonds spéculatifs à stratégies complexes."
"Leverage","Effet de levier amplifiant gains et pertes."
"Ratio de couverture","Capacité à servir intérêts et amortissements."
"EBITDA","Résultat avant intérêts, impôts, dépréciations."
"Free cash flow","Trésorerie disponible après investissements."
"Working capital","Besoin en fonds de roulement opérationnel."
"Solvency ratio","Fonds propres rapportés aux engagements totaux."
"Value at Risk (VaR)","Perte maximale estimée à niveau de confiance."
"Expected shortfall","Perte moyenne au-delà du seuil VaR."
"Backtesting","Vérification rétrospective des modèles de risque."
"Sensitivity analysis","Test impact variations de paramètres."
"Monte Carlo simulation","Modélisation probabiliste par simulations."
"Basel III","Accord international exigences prudentielles."
"LCR","Ratio couverture liquidité 30 jours."
"NSFR","Ratio financement stable long terme."
"CET1","Capital de base de haute qualité."
"Pillar 1","Exigences minimales de capital réglementaire."
"Pillar 2","Évaluation interne risques additionnels."
"Pillar 3","Transparence et divulgations publiques."
"AML","Mesures globales contre blanchiment d'argent."
"CTF","Lutte contre financement du terrorisme."
"PEP screening","Vérification spécifique personnes exposées."
"Sanctions list","Base données entités sous embargo."
"Adverse media","Informations négatives publiques sur client."
"Source of funds","Origine légitime des fonds investis."
"Source of wealth","Accumulation globale du patrimoine client."
"Transaction monitoring","Surveillance automatisée des opérations."
"Alert management","Traitement structuré des signaux d'alerte."
"False positive","Alerte injustifiée générant bruit opérationnel."
"Hit rate","Taux d'alertes réellement pertinentes."
"Tuning des règles","Ajustement seuils pour optimiser détection."
"Customer risk rating","Notation risque client bas/moyen/haut."
"Geographic risk","Risque lié à juridiction du client."
"Product risk","Risque inhérent au type de produit financier."
"Channel risk","Risque selon canal de distribution utilisé."
"Enterprise-wide risk assessment","Évaluation globale risques institutionnels."
"Risk appetite","Niveau risque toléré par l'institution."
"Risk limits","Plafond d'exposition par type de risque."
"Escalation process","Remontée structurée risques critiques."
"Remediation plan","Actions correctives post-audit ou incident."
"Gap analysis","Écart entre état actuel et exigences."
"Root cause analysis","Identification causes profondes incidents."
"KPI","Indicateur clé performance conformité."
"SLA","Engagement délai traitement des alertes."
"RACI matrix","Matrice responsabilités et accountabilités."
"Whistleblowing","Signalement interne d'irrégularités graves."
"Code of conduct","Règles éthiques obligatoires personnel."
"Training program","Formation continue risques et conformité."
"Awareness campaign","Sensibilisation collective aux menaces."
"Third-party risk","Risque lié fournisseurs ou partenaires."
"Vendor due diligence","Audit approfondi prestataires externes."
"Data privacy","Protection légale données clients sensibles."
"GDPR compliance","Respect règlement européen protection données."
"Incident response","Gestion structurée événements sécurité."
"Forensic accounting","Expertise investigation fraudes comptables."
"Chain of custody","Traçabilité rigoureuse preuves enquête."
"Court-admissible evidence","Preuves recevables judiciairement."
"Statute of limitations","Délai légal poursuites judiciaires."
"Mitigating circumstances","Facteurs atténuants une faute reprochée."
"Aggravating factors","Éléments aggravants une infraction."
"Materiality threshold","Seuil signification pour reporting."
"Qualitative risk","Évaluation risque par expertise jugement."
"Quantitative risk","Mesure risque monétaire et probabiliste."
"Residual risk","Risque restant après contrôles appliqués."
"Inherent risk","Risque brut avant toute mitigation."
"Control effectiveness","Efficacité réelle mesures de contrôle."
"Key control","Contrôle critique gestion des risques."
"Control self-assessment","Auto-évaluation contrôles par opérationnels."
"SOX compliance","Normes contrôle interne reporting US."
"Internal control framework","Cadre structuré contrôles internes."
"Risk register","Base recensant exhaustivement tous risques."
"Board oversight","Supervision conseil administration risques."
